station_file,source,station_name,district,lat,lon,monthly_points,mean_level,trend_slope_m_per_year,trend_pval,mk_pval,anomaly_months
Anantapur_Agali_Agali_Cgwb_Manual_Chinnampalli-nqm.xlsx,Manual,,ANANTAPUR,14.4897,77.0603,7,6.579999923706055,-56.040000915527344,0.207222108132318,0.2962698714842864,0
Anantapur_Agali_Agali_Cgwb_Manual_Daboh.xlsx,Manual,,ANANTAPUR,25.9961,78.8792,323,6.919215701374353,-0.6961181983196251,1.8891148553644344e-07,5.4563692675202446e-08,6
Anantapur_Agali_Agali_Cgwb_Manual_Dahegaon_pz.xlsx,Manual,,ANANTAPUR,18.9639,74.8083,171,6.6156410192831965,-0.6490688434013953,0.4553067768765171,0.8465282828044682,2
Anantapur_Agali_Agali_Cgwb_Manual_Dehkora-dw.xlsx,Manual,,ANANTAPUR,28.7472,76.8056,79,2.072499990463257,-0.9719999313354465,0.7924952009878647,1.0,0
Anantapur_Agali_Agali_Cgwb_Manual_Dehre.xlsx,Manual,,ANANTAPUR,19.2333,74.6667,306,5.590689644046213,0.23707369965645558,0.2562836345232715,0.4263009459377134,4
Anantapur_Agali_Agali_Cgwb_Manual_Devlali.xlsx,Manual,,ANANTAPUR,19.475,74.6208,313,3.780744687614447,0.04526821611644176,0.7054103134809941,0.8014253539321086,4
Anantapur_Agali_Agali_Cgwb_Manual_Dewri.xlsx,Manual,,ANANTAPUR,26.0806,78.9031,323,13.081470592349183,-0.024543379660955655,0.6406636813353659,0.700570082218519,4
Anantapur_Agali_Agali_Cgwb_Manual_Dhaga_phata.xlsx,Manual,,ANANTAPUR,21.0772,77.1008,109,28.231379377430883,3.3961184647282945,0.02359792217496652,1.0765900477771595e-06,2
Anantapur_Agali_Agali_Cgwb_Manual_Dharmavaram-ewl.xlsx,Manual,,ANANTAPUR,14.3861,77.7106,13,5.5874998569488525,22.163999176025392,0.439330531199849,0.7340951823194757,0
Anantapur_Agali_Agali_Cgwb_Manual_Dharmavaram-ewll.xlsx,Manual,,ANANTAPUR,14.3861,77.7106,13,4.167500019073486,15.012000846862792,0.12449703528525703,0.3081795474670539,0
Anantapur_Agali_Agali_Cgwb_Manual_Dharmavaram-ow.xlsx,Manual,,ANANTAPUR,14.3861,77.7106,13,4.144999980926514,14.975999450683595,0.16909608336900334,0.7340951823194757,0
Anantapur_Agali_Agali_Cgwb_Manual_Dharmavaram.xlsx,Manual,,ANANTAPUR,14.4117,77.72,332,3.529705894636173,-0.4420650219606014,6.699192851363919e-07,2.8200024537738955e-09,6
Anantapur_Agali_Agali_Cgwb_Manual_Donad.xlsx,Manual,,ANANTAPUR,20.5606,77.1783,109,7.588275818989195,-0.08849266315328644,0.8752126518339618,0.8512054208306075,1
Anantapur_Agali_Agali_Cgwb_Manual_Donimukkala-ew.xlsx,Manual,,ANANTAPUR,15.1278,77.3964,13,2.5149999856948853,4.823999977111816,0.5910247488951337,0.7340951823194757,0
Anantapur_Agali_Agali_Cgwb_Manual_Donnimukkala-ow.xlsx,Manual,,ANANTAPUR,15.1278,77.3964,13,2.432499945163727,5.9399994850158695,0.45785931524571677,0.3081795474670539,0
Anantapur_Agali_Agali_Cgwb_Manual_Dubbaraparthi-ow.xlsx,Manual,,ANANTAPUR,14.3442,77.3789,13,4.152500003576279,23.171999502182004,0.08484594543905544,0.3081795474670539,0
Anantapur_Agali_Agali_Cgwb_Manual_Dudhal.xlsx,Manual,,ANANTAPUR,28.9083,74.1333,347,48.61419998168945,-0.40917216935316597,6.315637888792e-08,1.1360859364373255e-08,4
Anantapur_Agali_Agali_Cgwb_Manual_Dulhera.xlsx,Manual,,ANANTAPUR,28.65,76.7833,323,4.02719997882843,-0.215212235884233,2.9580941953396635e-07,1.2696110363030755e-07,1
Anantapur_Agali_Agali_Cgwb_Manual_Dungri.xlsx,Manual,,ANANTAPUR,20.6886,72.9494,115,5.827600002288818,-2.0835692189289974,0.022897171199307058,0.03985609847725402,0
Anantapur_Agali_Agali_Cgwb_Manual_Enumala_channampalli-nqm.xlsx,Manual,,ANANTAPUR,14.4883,77.2717,1,4.820000171661377,,,,0
Anantapur_Agali_Agali_Cgwb_Manual_Erraguntapalle_2013dw.xlsx,Manual,,ANANTAPUR,14.89,77.93,17,8.643333117167154,4.619997024536133,0.3333333333333333,0.6015081344405899,0
Anantapur_Agali_Agali_Cgwb_Manual_Erramanzil-pz.xlsx,Manual,,ANANTAPUR,17.4194,78.4528,215,4.779677439120508,-0.32324546635434587,0.34386356166764265,0.17172926652477827,2
Anantapur_Agali_Agali_Cgwb_Manual_Erramanzil.xlsx,Manual,,ANANTAPUR,17.4167,78.4567,1,5.099999904632568,,,,0
Anantapur_Agali_Agali_Cgwb_Manual_Faizpur.xlsx,Manual,,ANANTAPUR,21.1667,75.8597,313,52.925822632222236,0.011754674642203903,0.9760684602408968,0.036504538381665785,1
Anantapur_Agali_Agali_Cgwb_Manual_Faizpur2.xlsx,Manual,,ANANTAPUR,21.1667,75.8561,148,48.721481570491086,-0.20292948628519805,0.944354593506824,0.7230410308327073,2
Anantapur_Agali_Agali_Cgwb_Manual_Gadehothur-ew.xlsx,Manual,,ANANTAPUR,15.015,77.3053,13,1.069999985396862,4.2719996809959415,0.30470873707438495,0.7340951823194757,0
Anantapur_Agali_Agali_Cgwb_Manual_Gadehothur-nqm.xlsx,Manual,,ANANTAPUR,15.015,77.3053,7,5.7533335983753195,-95.16000455617902,0.3199654844939723,0.2962698714842864,0
Anantapur_Agali_Agali_Cgwb_Manual_Gandlaparthy-ew.xlsx,Manual,,ANANTAPUR,14.5419,77.5433,13,7.652499973773958,14.844000720977801,0.4397731373765582,0.3081795474670539,0
Anantapur_Agali_Agali_Cgwb_Manual_Gandlaparthy-nqm.xlsx,Manual,,ANANTAPUR,14.5419,77.5433,7,6.489999930063884,-19.680001258850094,0.39203840860317923,1.0,0
Anantapur_Agali_Agali_Cgwb_Manual_Gangakhed-1.xlsx,Manual,,ANANTAPUR,18.9681,76.75,51,7.921250060200691,2.2672940296285287,0.16854077285272293,0.17679940164471075,0
Anantapur_Agali_Agali_Cgwb_Manual_Gangakhed-3.xlsx,Manual,,ANANTAPUR,18.9656,76.7311,105,7.238799973726272,-1.3978153395652775,0.20795030298521383,0.5911541483740381,1
Anantapur_Agali_Agali_Cgwb_Manual_Garladine-ew.xlsx,Manual,,ANANTAPUR,14.8181,77.5886,13,3.5,17.087999725341795,0.023777820893362334,0.08942935902899363,0
Anantapur_Agali_Agali_Cgwb_Manual_Georai_pz.xlsx,Manual,,ANANTAPUR,19.5078,74.0886,81,23.235714299338206,-54.792856897626606,0.06588460100049481,0.2931139556733102,0
Anantapur_Agali_Agali_Cgwb_Manual_Ghodegaon-1.xlsx,Manual,,ANANTAPUR,19.3553,74.8733,109,6.465161319701902,-0.26685488473984514,0.7344351004496336,0.7339104943970112,1
Anantapur_Agali_Agali_Cgwb_Manual_Ghogargaon-1.xlsx,Manual,,ANANTAPUR,18.8119,74.8961,111,3.350624975108076,-0.6145600984651388,0.2637838422905806,0.2364918152910518,2
Anantapur_Agali_Agali_Cgwb_Manual_Ghogargaon.xlsx,Manual,,ANANTAPUR,18.8097,74.9306,174,7.79631581431941,1.3029471949527145,0.5027526857439003,0.09309214399370513,1
Anantapur_Agali_Agali_Cgwb_Manual_Ghotan.xlsx,Manual,,ANANTAPUR,19.4,75.3,313,6.42252744947161,-0.45088579800501427,0.00032808495249067235,0.00027911120586288085,4
Anantapur_Agali_Agali_Cgwb_Manual_Gonchireddi_palli-nqm.xlsx,Manual,,ANANTAPUR,14.5525,77.0172,13,7.065000295639038,,,,0
Anantapur_Agali_Agali_Cgwb_Manual_Gooty-alt.xlsx,Manual,,ANANTAPUR,15.1167,77.6431,332,3.9836778824145975,-0.012636145273064385,0.9083970226789448,0.09194178230111683,7
Anantapur_Agali_Agali_Cgwb_Manual_Gooty-nqm.xlsx,Manual,,ANANTAPUR,15.1128,77.6153,10,5.846666653951009,10.800001144409176,0.8371395340376069,1.0,0
Anantapur_Agali_Agali_Cgwb_Manual_Gooty-pz.xlsx,Manual,,ANANTAPUR,15.1083,77.625,332,7.776200016140938,-0.11432150672943495,0.4191510443875085,0.561420569719052,2
Anantapur_Agali_Agali_Cgwb_Manual_Gorantla-dw13.xlsx,Manual,,ANANTAPUR,13.975,77.775,115,9.108823523801917,5.857941410120797,0.006722620795115007,0.015083622594694868,1
Anantapur_Agali_Agali_Cgwb_Manual_Gorantla-pz.xlsx,Manual,,ANANTAPUR,13.9833,77.7667,130,24.5554054105604,-1.3666856828149665,0.27856734901504865,0.38087509602077274,1
Anantapur_Agali_Agali_Cgwb_Manual_Gorantla.xlsx,Manual,,ANANTAPUR,13.9833,77.7667,325,7.633593805134296,0.7043049415389262,0.0011905597902745174,0.039157352225577036,5
Anantapur_Agali_Agali_Cgwb_Manual_Govinavaripalli.xlsx,Manual,,ANANTAPUR,13.975,77.8778,227,6.544657571675026,0.6698222900928721,0.00022466097320231413,0.00018870821505068136,2
Anantapur_Agali_Agali_Cgwb_Manual_Gudimalkapur-pz.xlsx,Manual,,ANANTAPUR,17.3833,78.4333,227,15.855441205641803,0.34743295886450404,0.5915339362645289,0.5747289849803434,2
Anantapur_Agali_Agali_Cgwb_Manual_Gudimalkapur.xlsx,Manual,,ANANTAPUR,17.3844,78.4497,1,22.0,,,,0
Anantapur_Agali_Agali_Cgwb_Manual_Gudipalli-ew.xlsx,Manual,,ANANTAPUR,13.9964,77.5303,10,9.393333333333333,14.400000000000002,0.7256144686170478,1.0,0
